,1,2,3,5,4,7,6,8,9,0,FPR_actual,size
0,109,79,19,7,9,4,2,2,4,3222,1.6049352473157595e-07,3800
1,109,68,28,6,10,4,4,2,4,3222,1.0482679919002425e-06,4300
2,109,79,19,7,9,4,2,2,4,3222,2.919389755702481e-08,4800
3,109,79,19,7,9,4,2,2,4,3222,9.10231311443301e-08,5300
4,109,68,28,6,10,4,4,2,4,3222,1.4588199358665146e-07,5800
5,109,79,19,7,9,4,2,2,4,3222,2.919389755702481e-08,6300
6,109,68,28,6,10,4,4,2,4,3222,2.919389755702481e-08,6800
7,109,68,28,6,10,4,4,2,4,3222,5.838779511404962e-08,7300
8,109,68,28,6,10,4,4,2,4,3222,4.963837526678944e-08,7800
9,109,68,28,6,10,4,4,2,4,3222,8.758169267107443e-08,8300
10,109,79,19,7,9,4,2,2,4,3222,8.758169267107443e-08,8800
11,109,68,28,6,10,4,4,2,4,3222,1.3719090320503967e-07,9300
12,109,79,19,7,9,4,2,2,4,3222,4.170556793860687e-08,9800
13,109,79,19,7,9,4,2,2,4,3222,0.0,10300
14,109,79,19,7,9,4,2,2,4,3222,0.0,10800
