,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones
0,3803,0.004314103625619571,0.5,0.004243363895365617,33,0.008677359978963977
1,5496,0.001331197660689034,0.25,0.0013002369344527864,51,0.009279475982532752
2,7324,0.0004877241601977327,0.125,0.00047847614007811,71,0.009694156198798471
3,9234,0.00022850078200249731,0.0625,0.00022700503951487535,94,0.010179770413688543
4,10007,0.00011024776473898972,0.03125,0.00010707359187733502,114,0.011392025582092536
5,10191,3.338023247134339e-05,0.015625,3.3001090944628786e-05,129,0.012658227848101266
6,10338,1.5887896512242822e-05,0.0078125,1.5625413916825016e-05,147,0.014219384793964016
7,10432,6.491982032468584e-06,0.00390625,5.8470039660613865e-06,182,0.017446319018404908
8,10534,9.257761140386e-07,0.001953125,8.722879940390161e-07,241,0.022878298841845453
9,10640,8.203747696119389e-07,0.0009765625,5.485886244232135e-08,351,0.032988721804511276
10,10642,1.568945967010696e-06,0.00048828125,1.9802853587632216e-08,353,0.03317045668107499
11,10644,3.0235953460833497e-06,0.000244140625,0.0,353,0.03316422397594889
12,10644,1.2848231398373337e-06,0.0001220703125,0.0,358,0.03363397219090567
13,10644,8.343155119019069e-07,6.103515625e-05,0.0,364,0.034197670048853816
14,10644,1.3741838812106844e-06,3.0517578125e-05,0.0,367,0.03447951897782788
15,10644,7.036283441166639e-07,1.52587890625e-05,0.0,363,0.03410372040586246
16,10644,9.115728891532143e-07,7.62939453125e-06,0.0,370,0.034761367906801954
17,10644,4.0836458900445694e-07,3.814697265625e-06,0.0,372,0.03494926719278467
18,10644,1.6625064299107316e-06,1.9073486328125e-06,0.0,377,0.03541901540774145
19,10644,9.403876451835245e-07,9.5367431640625e-07,0.0,376,0.03532506576475009
20,10644,3.6767395376813224e-06,4.76837158203125e-07,0.0,383,0.03598271326568959
21,10644,3.112722769594107e-06,2.384185791015625e-07,0.0,384,0.036076662908680945
22,10644,1.6768263137274141e-06,1.1920928955078125e-07,0.0,389,0.03654641112363773
23,10644,1.8957951277715123e-06,5.960464477539063e-08,0.0,385,0.0361706125516723
24,10644,3.585891394933938e-06,2.9802322387695312e-08,0.0,391,0.03673431040962044
25,10644,1.7608790737267604e-06,1.4901161193847656e-08,0.0,400,0.03757985719654265
