,memory,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones
0,9072,0.078505,0.5,0.0762545,22,0.0024250440917107582
1,18750,0.0569525,0.25,0.05688,66,0.00352
2,33177,0.0375585,0.125,0.0374625,159,0.004792476715797089
3,47604,0.0183065,0.0625,0.0181405,395,0.008297622048567347
4,62030,0.0033515,0.03125,0.0,9591,0.15461873287119135
5,63235,0.0023435,0.015625,0.0,17414,0.2753854669091484
6,63393,0.002711,0.0078125,0.0,24169,0.3812566056189169
7,63472,0.001339,0.00390625,0.0,24247,0.38201096546508695
8,63512,0.0011695,0.001953125,0.0,24361,0.38356531049250536
9,63531,0.001065,0.0009765625,0.0,24423,0.3844265004485999
10,63541,0.0010305,0.00048828125,0.0,24415,0.38424009694527944
11,63546,0.000986,0.000244140625,0.0,24436,0.3845403329871274
12,63549,0.00101,0.0001220703125,0.0,24484,0.385277502399723
13,63551,0.00103,1e-30,0.0,24475,0.38512375887082817
