,0,1,FPR_target,FPR_actual,size,2,3,4,5,6,7,8,9,10,11,12,13,100
0,9978.0,22.0,0.5,0.078505,9072,,,,,,,,,,,,,
1,9956.0,22.0,0.25,0.0569525,18750,22.0,,,,,,,,,,,,
2,9907.0,49.0,0.125,0.0375585,33177,22.0,22.0,,,,,,,,,,,
3,9763.0,144.0,0.0625,0.0183065,47604,49.0,22.0,22.0,,,,,,,,,,
4,,9763.0,0.03125,0.0033515,62030,144.0,49.0,22.0,22.0,,,,,,,,,
5,,,0.015625,0.0023435,63235,9763.0,144.0,49.0,22.0,22.0,,,,,,,,
6,,,0.0078125,0.002711,63393,,9763.0,144.0,49.0,22.0,22.0,,,,,,,
7,,,0.00390625,0.001339,63472,,9485.0,344.0,94.0,43.0,14.0,20.0,,,,,,
8,,,0.001953125,0.0011695,63512,,9485.0,344.0,94.0,43.0,14.0,8.0,12.0,,,,,
9,,,0.0009765625,0.001065,63531,,9485.0,344.0,94.0,43.0,14.0,8.0,8.0,4.0,,,,
10,,,0.00048828125,0.0010305,63541,,9485.0,344.0,94.0,43.0,14.0,8.0,8.0,1.0,3.0,,,
11,,,0.000244140625,0.000986,63546,,9485.0,344.0,94.0,43.0,14.0,8.0,8.0,1.0,1.0,2.0,,
12,,,0.0001220703125,0.00101,63549,,9485.0,344.0,94.0,43.0,14.0,8.0,8.0,1.0,1.0,1.0,1.0,
13,,,1e-30,0.00103,63551,,9485.0,344.0,94.0,43.0,14.0,8.0,8.0,1.0,1.0,1.0,,1.0
