,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,9093,0.0007926603218546877,0.5,0.0007677709500740117,110,0.012097217639942813,26171995,848436
1,11549,0.000322083290009273,0.25,0.00031761844234174465,142,0.012295436834357952,10827068,152199
2,14028,0.00017835449894014675,0.125,0.00017835449894014675,178,0.012688907898488738,6079799,0
3,16523,0.00013450870271531867,0.0625,0.00013351616231766061,215,0.013012164861102706,4551337,33834
4,18229,0.00011136089698618145,0.03125,0.00011050866872193946,233,0.012781831148170497,3767051,29051
5,18959,9.446186557001752e-05,0.015625,9.446186557001752e-05,264,0.013924785062503296,3220043,0
6,19257,3.3751184557354224e-05,0.0078125,3.270953637978014e-05,299,0.015526821415589136,1115012,35508
7,19622,7.173813514940265e-06,0.00390625,6.5426289315031815e-06,373,0.019009275303231068,223027,21516
8,19926,1.39273653482334e-06,0.001953125,1.1519793366327774e-06,566,0.028405098865803474,39269,8207
9,20182,3.9022203610708713e-07,0.0009765625,1.2549765978545472e-07,858,0.042513130512337724,4278,9024
10,20357,8.421661564097322e-07,0.00048828125,5.0691901848823224e-08,1106,0.0543302058260058,1728,26980
11,20460,2.0807441587009157e-06,0.000244140625,2.0153551255868955e-08,1252,0.06119257086999023,687,70242
12,20530,5.650650940985057e-06,0.0001220703125,5.368413216628848e-09,1367,0.0665854846566001,183,192438
13,20577,9.154171280049356e-07,6.103515625e-05,1.9361490289481094e-09,1429,0.06944646935899305,66,31139
14,20644,3.5757152293709855e-07,3.0517578125e-05,1.0854168798648492e-09,1533,0.07425886456113157,37,12152
15,20708,9.82038255955559e-07,1.52587890625e-05,1.7601354808619176e-10,1629,0.07866525014487155,6,33470
16,20739,2.295187331452593e-06,7.62939453125e-06,1.7601354808619176e-10,1682,0.08110323545011813,6,78233
17,20761,9.891081334703546e-07,3.814697265625e-06,5.867118269539725e-11,1700,0.08188430229757719,2,33715
18,20780,8.454224070493267e-07,1.9073486328125e-06,5.867118269539725e-11,1723,0.0829162656400385,2,28817
19,21001,9.741176462916806e-07,9.5367431640625e-07,5.867118269539725e-11,2062,0.09818580067615827,2,33204
20,21690,2.741264333485698e-06,4.76837158203125e-07,5.867118269539725e-11,3069,0.14149377593360996,2,93443
21,22597,1.4871824711672557e-05,2.384185791015625e-07,5.867118269539725e-11,4352,0.19259193698278532,2,506953
22,23219,2.9803552700877113e-05,1.1920928955078125e-07,5.867118269539725e-11,5141,0.221413497566648,2,1015950
23,23524,3.423636590265381e-05,5.960464477539063e-08,5.867118269539725e-11,5564,0.2365244006121408,2,1167057
24,23685,3.710022367238154e-05,2.9802322387695312e-08,2.9335591347698624e-11,5754,0.2429385687143762,1,1264682
25,23758,3.384631988009481e-05,1.4901161193847656e-08,2.9335591347698624e-11,5869,0.24703257849987373,1,1153762
