,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,11136,0.0007818692419038284,0.5,0.000777083945102445,65,0.005836925287356322,26239125,161581
1,14380,0.0003304476946418072,0.25,0.0003264321926786682,91,0.006328233657858136,11022355,135588
2,17635,0.00025773396347813013,0.125,0.00025773396347813013,121,0.006861355259427275,8702681,0
3,20899,0.0002501792058794713,0.0625,0.0002501792058794713,173,0.00827790803387722,8447586,0
4,23333,4.539817155527805e-05,0.03125,4.122040644749467e-05,317,0.013585908370119573,1391854,141067
5,23749,2.3461254633086146e-05,0.015625,2.3070271235459797e-05,518,0.021811444692408102,778994,13202
6,24009,2.201738214650267e-05,0.0078125,2.175415987426339e-05,817,0.03402890582698155,734554,8888
7,24248,2.0974266161712845e-06,0.00390625,8.069622495472476e-07,1097,0.04524084460574068,27248,43574
8,24463,6.790826622914851e-08,0.001953125,2.4403144951076482e-08,1323,0.05408167436536811,824,1469
9,24522,3.3761632577945616e-09,0.0009765625,3.3761632577945616e-09,1432,0.058396541880760135,114,0
10,24582,8.345638649530768e-08,0.00048828125,3.3761632577945616e-09,1562,0.06354242941990074,114,2704
11,25036,2.1506752261494832e-07,0.000244140625,3.3761632577945616e-09,2519,0.10061511423550087,114,7148
12,26136,1.2584796620765096e-05,0.0001220703125,0.0,4714,0.18036424854606672,0,424940
13,26825,3.371661706784169e-05,6.103515625e-05,0.0,5961,0.22221808014911462,0,1138480
14,26826,4.1722566308890845e-05,3.0517578125e-05,0.0,6004,0.2238127190039514,0,1408810
15,26826,4.8498851737423445e-05,1.52587890625e-05,0.0,6003,0.2237754417356296,0,1637619
16,26826,3.076590961146359e-05,7.62939453125e-06,0.0,5983,0.22302989636919407,0,1038846
17,26826,3.94271602946638e-05,3.814697265625e-06,0.0,5965,0.22235890553940207,0,1331303
18,26826,4.4426606539179726e-05,1.9073486328125e-06,0.0,5985,0.2231044509058376,0,1500115
19,26826,2.8034889690579526e-05,9.5367431640625e-07,0.0,5980,0.22291806456422875,0,946630
20,26826,2.593965461897909e-05,4.76837158203125e-07,0.0,5992,0.22336539178409007,0,875882
21,26826,3.118390231515229e-05,2.384185791015625e-07,0.0,5983,0.22302989636919407,0,1052960
22,26826,2.0169140071130363e-05,1.1920928955078125e-07,0.0,5997,0.22355177812569896,0,681034
23,26826,2.5311984407701037e-05,5.960464477539063e-08,0.0,5973,0.2226571236859763,0,854688
24,26826,3.2234155627530967e-05,2.9802322387695312e-08,0.0,5995,0.2234772235890554,0,1088423
25,26826,2.759924616845533e-05,1.4901161193847656e-08,0.0,5993,0.22340266905241185,0,931920
