,0,3,1,2,4,FPR_target,FPR_actual,size,5,6,7,8
0,3433,7,6.0,3,8,0.08333333333333333,0.0007818692419038284,11136,,,,
1,3430,3,3.0,6,7,0.041666666666666664,0.0003304476946418072,14380,8.0,,,
2,3428,6,2.0,3,3,0.020833333333333332,0.00025773396347813013,17635,7.0,8.0,,
3,3404,3,24.0,2,6,0.010416666666666666,0.0002501792058794713,20899,3.0,7.0,8.0,
4,3298,2,106.0,24,3,0.005208333333333333,4.539817155527805e-05,23333,8.0,7.0,3.0,6.0
5,3227,26,71.0,106,3,0.0026041666666666665,2.3461254633086146e-05,23749,8.0,7.0,3.0,6.0
6,3082,117,145.0,86,3,0.0013020833333333333,2.201738214650267e-05,24009,8.0,7.0,3.0,6.0
7,2928,117,154.0,231,3,0.0006510416666666666,2.0974266161712845e-06,24248,8.0,7.0,3.0,6.0
8,2853,117,75.0,385,3,0.0003255208333333333,6.790826622914851e-08,24463,8.0,7.0,3.0,6.0
9,2810,117,43.0,460,3,0.00016276041666666666,3.3761632577945616e-09,24522,8.0,7.0,3.0,6.0
10,2714,117,96.0,503,3,8.138020833333333e-05,8.345638649530768e-08,24582,8.0,7.0,3.0,6.0
11,1766,117,948.0,599,3,4.0690104166666664e-05,2.1506752261494832e-07,25036,8.0,7.0,3.0,6.0
12,184,117,1582.0,1547,3,2.0345052083333332e-05,1.2584796620765096e-05,26136,8.0,7.0,3.0,6.0
13,182,117,2.0,3129,3,1.0172526041666666e-05,3.371661706784169e-05,26825,8.0,7.0,3.0,6.0
14,182,117,,3131,3,5.086263020833333e-06,4.1722566308890845e-05,26826,8.0,7.0,3.0,6.0
15,182,117,,3131,3,2.5431315104166665e-06,4.8498851737423445e-05,26826,8.0,7.0,3.0,6.0
16,182,117,,3131,3,1.2715657552083333e-06,3.076590961146359e-05,26826,8.0,7.0,3.0,6.0
17,182,117,,3131,3,6.357828776041666e-07,3.94271602946638e-05,26826,8.0,7.0,3.0,6.0
18,182,117,,3131,3,3.178914388020833e-07,4.4426606539179726e-05,26826,8.0,7.0,3.0,6.0
19,182,117,,3131,3,1.5894571940104166e-07,2.8034889690579526e-05,26826,8.0,7.0,3.0,6.0
20,182,117,,3131,3,7.947285970052083e-08,2.593965461897909e-05,26826,8.0,7.0,3.0,6.0
21,182,117,,3131,3,3.9736429850260414e-08,3.118390231515229e-05,26826,8.0,7.0,3.0,6.0
22,182,117,,3131,3,1.9868214925130207e-08,2.0169140071130363e-05,26826,8.0,7.0,3.0,6.0
23,182,117,,3131,3,9.934107462565104e-09,2.5311984407701037e-05,26826,8.0,7.0,3.0,6.0
24,182,117,,3131,3,4.967053731282552e-09,3.2234155627530967e-05,26826,8.0,7.0,3.0,6.0
25,182,117,,3131,3,2.483526865641276e-09,2.759924616845533e-05,26826,8.0,7.0,3.0,6.0
