,4,3,1,2,0,FPR_target,FPR_actual,size,5,6,7,8,9
0,31174885597,1760109216,127752535.0,677153164,26239125,0.08333333333333333,0.0007818692419038284,11136,,,,,
1,1760109216,677153164,15216770.0,127752535,11022355,0.041666666666666664,0.0003304476946418072,14380,31174885597.0,,,,
2,677153164,127752535,2319674.0,15216770,8702681,0.020833333333333332,0.00025773396347813013,17635,1760109216.0,31174885597.0,,,
3,127752535,15216770,255095.0,2319674,8447586,0.010416666666666666,0.0002501792058794713,20899,677153164.0,1760109216.0,31174885597.0,,
4,65877845,4402653,7055732.0,255095,1391854,0.005208333333333333,4.539817155527805e-05,23333,364358366.0,2099434719.0,1610625762.0,29612737611.0,
5,65877845,4657748,612860.0,7055732,778994,0.0026041666666666665,2.3461254633086146e-05,23749,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
6,65877845,11672800,44440.0,653540,734554,0.0013020833333333333,2.201738214650267e-05,24009,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
7,65877845,11672800,707306.0,697980,27248,0.0006510416666666666,2.0974266161712845e-06,24248,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
8,65877845,11672800,26424.0,1405286,824,0.0003255208333333333,6.790826622914851e-08,24463,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
9,65877845,11672800,710.0,1431710,114,0.00016276041666666666,3.3761632577945616e-09,24522,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
10,65877845,11672800,,1432420,114,8.138020833333333e-05,8.345638649530768e-08,24582,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
11,65877845,11672800,,1432420,114,4.0690104166666664e-05,2.1506752261494832e-07,25036,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
12,65877845,11672800,114.0,1432420,0,2.0345052083333332e-05,1.2584796620765096e-05,26136,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
13,65877845,11672800,,1432534,0,1.0172526041666666e-05,3.371661706784169e-05,26825,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
14,65877845,11672800,,1432534,0,5.086263020833333e-06,4.1722566308890845e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
15,65877845,11672800,,1432534,0,2.5431315104166665e-06,4.8498851737423445e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
16,65877845,11672800,,1432534,0,1.2715657552083333e-06,3.076590961146359e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
17,65877845,11672800,,1432534,0,6.357828776041666e-07,3.94271602946638e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
18,65877845,11672800,,1432534,0,3.178914388020833e-07,4.4426606539179726e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
19,65877845,11672800,,1432534,0,1.5894571940104166e-07,2.8034889690579526e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
20,65877845,11672800,,1432534,0,7.947285970052083e-08,2.593965461897909e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
21,65877845,11672800,,1432534,0,3.9736429850260414e-08,3.118390231515229e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
22,65877845,11672800,,1432534,0,1.9868214925130207e-08,2.0169140071130363e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
23,65877845,11672800,,1432534,0,9.934107462565104e-09,2.5311984407701037e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
24,65877845,11672800,,1432534,0,4.967053731282552e-09,3.2234155627530967e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
25,65877845,11672800,,1432534,0,2.483526865641276e-09,2.759924616845533e-05,26826,364358366.0,2099434719.0,1610625762.0,25900715844.0,3712021767.0
