,1,3,2,6,4,7,5,9,10,8,0,FPR_actual,size
0,109,39,56,4,11,5,4,2,4.0,1,3222,9.544799819516513e-05,3900
1,109,28,68,4,10,4,6,4,,2,3222,8.387854386847844e-05,4900
2,109,28,68,4,10,4,6,4,,2,3222,8.387854386847844e-05,5900
3,109,28,68,4,10,4,6,4,,2,3222,8.966327103182178e-05,6900
4,109,19,79,2,9,4,7,4,,2,3222,8.387854386847844e-05,7900
5,109,28,68,4,10,4,6,4,,2,3222,8.098618028680678e-05,8900
6,109,19,79,2,9,4,7,4,,2,3222,8.387854386847844e-05,9900
7,109,19,79,2,9,4,7,4,,2,3222,8.098618028680678e-05,10900
8,109,19,79,2,9,4,7,4,,2,3222,8.387854386847844e-05,11900
9,109,19,79,2,9,4,7,4,,2,3222,8.677090745015011e-05,12900
10,109,19,79,2,9,4,7,4,,2,3222,8.098618028680678e-05,13900
