,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,3900,9.544799819516513e-05,12,2.3000000000000007,27,6
1,4900,8.387854386847844e-05,11,2.500000000000001,27,2
2,5900,8.387854386847844e-05,11,2.500000000000001,27,2
3,6900,8.966327103182178e-05,11,2.500000000000001,27,4
4,7900,8.387854386847844e-05,11,2.400000000000001,27,2
5,8900,8.098618028680678e-05,11,2.500000000000001,27,1
6,9900,8.387854386847844e-05,11,2.400000000000001,27,2
7,10900,8.098618028680678e-05,11,2.400000000000001,27,1
8,11900,8.387854386847844e-05,11,2.400000000000001,27,2
9,12900,8.677090745015011e-05,11,2.400000000000001,27,3
10,13900,8.098618028680678e-05,11,2.400000000000001,27,1
