,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,3945,0.005891744615865193,0.5,0.005813650799160058,36,0.009125475285171103,2010,27
1,5750,0.002316783228919008,0.25,0.002273397775193933,56,0.009739130434782608,786,15
2,7822,0.0007953999849597094,0.125,0.0007838305306330227,90,0.01150600869342879,271,4
3,12810,0.0004425316279957656,0.0625,0.0,3075,0.24004683840749413,0,153
4,13205,0.00037889962919898884,0.03125,0.0,3142,0.2379401741764483,0,131
5,13219,0.0003152676304022121,0.015625,0.0,3121,0.23609955367274377,0,109
6,13220,0.00032972944831057043,0.0078125,0.0,3114,0.23555219364599092,0,114
7,13221,0.00028923635816716705,0.00390625,0.0,3103,0.23470236744573028,0,100
8,13221,0.00034708362980060044,0.001953125,0.0,3109,0.23515619090840328,0,120
9,13221,0.0003210523575655554,0.0009765625,0.0,3109,0.23515619090840328,0,111
10,13221,0.0003441912662189288,0.00048828125,0.0,3131,0.2368202102715377,0,119
11,13221,0.0003441912662189288,0.000244140625,0.0,3143,0.23772785719688375,0,119
12,13221,0.0003875767199440038,0.0001220703125,0.0,3140,0.23750094546554723,0,134
13,13221,0.0003644378112906305,6.103515625e-05,0.0,3145,0.2378791316844414,0,126
14,13221,0.00030659053965719705,3.0517578125e-05,0.0,3154,0.23855986687845096,0,106
15,13221,0.00032972944831057043,1.52587890625e-05,0.0,3126,0.23644202405264353,0,114
16,13221,0.00028345163100382373,7.62939453125e-06,0.0,3157,0.23878677860978745,0,98
17,13221,0.00033840653905558546,3.814697265625e-06,0.0,3172,0.23992133726647,0,117
18,13221,0.0003412989026372571,1.9073486328125e-06,0.0,3135,0.23712275924665305,0,118
19,13221,0.0003441912662189288,9.5367431640625e-07,0.0,3137,0.23727403373421072,0,119
20,13221,0.00030948290323886877,4.76837158203125e-07,0.0,3160,0.23901369034112396,0,107
21,13221,0.00029502108533051036,2.384185791015625e-07,0.0,3144,0.2378034944406626,0,102
22,13221,0.00034708362980060044,1.1920928955078125e-07,0.0,3149,0.23818168065955678,0,120
23,13221,0.0003615454477089588,5.960464477539063e-08,0.0,3196,0.2417366311171621,0,125
24,13221,0.00030659053965719705,2.9802322387695312e-08,0.0,3175,0.2401482489978065,0,106
25,13221,0.0003702225384539738,1.4901161193847656e-08,0.0,3189,0.24120717041071024,0,128
