,0,1,FPR_target,FPR_actual,size,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,3454.0,3.0,0.5,0.4637991774117974,3,,,,,,,,,,,,,,,,,,,,,,,,,
1,3454.0,,0.25,0.2609895354285615,17,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2,3453.0,1.0,0.125,0.11188240806622356,239,,3.0,,,,,,,,,,,,,,,,,,,,,,,
3,3452.0,1.0,0.0625,0.06533849330996304,740,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
4,3450.0,2.0,0.03125,0.03129826631726915,1560,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,
5,3448.0,2.0,0.015625,0.01564768697684374,2665,2.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,
6,3445.0,5.0,0.0078125,0.00782673585200354,3840,1.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,
7,3439.0,7.0,0.00390625,0.003936506834655144,4716,4.0,1.0,2.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,
8,3437.0,5.0,0.001953125,0.0019292065089750042,6433,4.0,4.0,1.0,2.0,1.0,,,3.0,,,,,,,,,,,,,,,,,
9,3426.0,11.0,0.0009765625,0.0009978654356767264,7967,8.0,3.0,2.0,2.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,
10,3410.0,27.0,0.00048828125,0.0005958268978243642,8281,6.0,3.0,4.0,2.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,
11,,3222.0,0.000244140625,0.00021981963220704694,13832,215.0,5.0,4.0,4.0,1.0,2.0,1.0,,,,3.0,,,,,,,,,,,,,,
12,,,0.0001220703125,0.00012437163401188183,64837,,,,,,,,,,,,3457.0,,,,,,,,,,,,,
13,,,6.103515625e-05,5.784727163343341e-05,32643,,,,3427.0,12.0,6.0,3.0,3.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,
14,,,3.0517578125e-05,2.8923635816716704e-05,74811,,,,,,,,,,,,,,3457.0,,,,,,,,,,,
15,,,1.52587890625e-05,1.4461817908358352e-05,79799,,,,,,,,,,,,,,,3457.0,,,,,,,,,,
16,,,7.62939453125e-06,8.677090745015011e-06,81772,,,,,,,,,,,,,,,3430.0,27.0,,,,,,,,,
17,,,3.814697265625e-06,2.8923635816716704e-06,87197,,,,,,,,,,,,,,,,3222.0,235.0,,,,,,,,
18,,,1.9073486328125e-06,2.8923635816716704e-06,92185,,,,,,,,,,,,,,,,,3222.0,235.0,,,,,,,
19,,,9.5367431640625e-07,0.0,97172,,,,,,,,,,,,,,,,,,3222.0,235.0,,,,,,
20,,,4.76837158203125e-07,0.0,102159,,,,,,,,,,,,,,,,,,,3222.0,235.0,,,,,
21,,,2.384185791015625e-07,0.0,107147,,,,,,,,,,,,,,,,,,,,3222.0,235.0,,,,
22,,,1.1920928955078125e-07,0.0,112134,,,,,,,,,,,,,,,,,,,,,3222.0,235.0,,,
23,,,5.960464477539063e-08,0.0,117122,,,,,,,,,,,,,,,,,,,,,,3222.0,235.0,,
24,,,2.9802322387695312e-08,0.0,122109,,,,,,,,,,,,,,,,,,,,,,,3222.0,235.0,
25,,,1.4901161193847656e-08,0.0,127096,,,,,,,,,,,,,,,,,,,,,,,,3222.0,235.0
