,9,7,6,8,5,4,3,2,1,0,FPR_actual,size
0,31104721949.0,768614489,283535456,2039893967,73724482,15076073,2220790,170573,29909,27,1.4669860610572907e-07,3800
1,28157542820.0,1447089212,518879441,3957963400,164621703,36619127,4742821,499255,29909,27,7.378677404522755e-08,4300
2,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,6.13363496025763e-07,4800
3,,2300083238,652281550,31104721949,175073791,48079665,7075793,641793,29909,27,8.833997572450365e-08,5300
4,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,3.6555076121853047e-07,5800
5,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,7.333472068645244e-07,6300
6,,2300083238,652281550,31104721949,175073791,48079665,7075793,641793,29909,27,1.1753387328152846e-07,6800
7,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,1.4669860610572907e-07,7300
8,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,4.29596514500475e-07,7800
9,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,2.9260976442520473e-07,8300
10,28368765718.0,1399565309,460116503,3914369792,120018759,22336351,2554759,230588,29909,27,3.6552159648570624e-07,8800
11,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,1.7586333892992968e-07,9300
12,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,5.914607816747884e-08,9800
13,28157542820.0,1447089212,518879441,3957963400,164621703,36619127,4742821,499255,29909,27,1.2129612381585033e-07,10300
14,28157542820.0,1411438318,627945705,3835824049,189477802,54459364,10038589,1161264,99777,27,8.833997572450365e-08,10800
