,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,3800,1.4669860610572907e-07,11,2.7000000000000006,27,5003
1,4300,7.378677404522755e-08,10,2.8000000000000007,27,2503
2,4800,6.13363496025763e-07,10,2.6000000000000005,27,21004
3,5300,8.833997572450365e-08,10,2.7000000000000006,27,3002
4,5800,3.6555076121853047e-07,10,2.6000000000000005,27,12507
5,6300,7.333472068645244e-07,10,2.6000000000000005,27,25118
6,6800,1.1753387328152846e-07,10,2.7000000000000006,27,4003
7,7300,1.4669860610572907e-07,10,2.6000000000000005,27,5003
8,7800,4.29596514500475e-07,10,2.6000000000000005,27,14703
9,8300,2.9260976442520473e-07,10,2.6000000000000005,27,10006
10,8800,3.6552159648570624e-07,10,2.900000000000001,27,12506
11,9300,1.7586333892992968e-07,10,2.6000000000000005,27,6003
12,9800,5.914607816747884e-08,10,2.6000000000000005,27,2001
13,10300,1.2129612381585033e-07,10,2.8000000000000007,27,4132
14,10800,8.833997572450365e-08,10,2.6000000000000005,27,3002
