,size,false_positive_rating,model_FP,bloom_FP
0,3800,3.2159950885246014e-07,27,11000
1,4300,7.874477862534165e-10,27,0
2,4800,7.874477862534165e-10,27,0
3,5300,7.874477862534165e-10,27,0
4,5800,7.874477862534165e-10,27,0
5,6300,7.874477862534165e-10,27,0
6,6800,7.874477862534165e-10,27,0
7,7300,7.874477862534165e-10,27,0
8,7800,7.874477862534165e-10,27,0
9,8300,7.874477862534165e-10,27,0
10,8800,7.874477862534165e-10,27,0
11,9300,7.874477862534165e-10,27,0
12,9800,7.874477862534165e-10,27,0
13,10300,7.874477862534165e-10,27,0
14,10800,7.874477862534165e-10,27,0
