,size,false_positive_rating,model_FP,bloom_FP
0,12520,0.00021736376213785113,27,7452939
1,13520,0.0001607753435448562,27,5512636
2,14520,0.00018810471056769705,27,6449705
3,15520,0.00016455777607429244,27,5642328
4,16520,7.355193961652708e-05,27,2521921
5,17520,8.600656378070501e-05,27,2948965
6,18520,5.6136073586891564e-05,27,1924766
7,19520,8.789145129840026e-05,27,3013594
8,20520,4.650185407521078e-05,27,1594428
9,21520,8.088547001463798e-05,27,2773373
10,22520,3.8262962876038234e-05,27,1311933
11,23520,3.113241901838378e-05,27,1067441
12,24520,3.4240912901718376e-05,27,1174025
