,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,521,0.011416137489712116,0.5,0.011400147691635977,1,0.0019193857965451055,390888124,548258
1,805,0.004250927473828862,0.25,0.00423859079185394,2,0.002484472049689441,145332749,423000
2,1137,0.0013010447381980462,0.125,0.0012921475406565718,4,0.003518029903254178,44305139,305067
3,1496,0.0004686665818236397,0.0625,0.0004599332900805083,6,0.004010695187165776,15770187,299447
4,1871,0.00021263942522968207,0.03125,0.00021021875240717958,10,0.005344735435595938,7207978,83000
5,2265,8.580369383161394e-05,0.015625,8.273355157436074e-05,14,0.006181015452538631,2836767,105269
6,2671,3.39352081455329e-05,0.0078125,3.300187836642778e-05,18,0.0067390490453013855,1131568,32002
7,2898,1.54337141158183e-05,0.00390625,1.54337141158183e-05,22,0.00759144237405107,529191,0
8,2958,5.847791409242809e-06,0.001953125,5.847791409242809e-06,30,0.010141987829614604,200509,0
9,3002,9.349046746763861e-07,0.0009765625,8.730754411377681e-07,41,0.013657561625582945,29936,2120
10,3040,1.1403410525282848e-07,0.00048828125,5.56463101847562e-08,69,0.022697368421052633,1908,2002
11,3070,2.0590301357671842e-08,0.000244140625,2.0590301357671842e-08,97,0.03159609120521173,706,0
12,3090,7.874477856333425e-10,0.0001220703125,7.874477856333425e-10,118,0.038187702265372166,27,0
13,3098,7.874477856333425e-10,6.103515625e-05,7.874477856333425e-10,134,0.04325371207230471,27,0
14,3098,7.874477856333425e-10,3.0517578125e-05,7.874477856333425e-10,135,0.04357650096836669,27,0
15,3098,7.874477856333425e-10,1.52587890625e-05,7.874477856333425e-10,136,0.04389928986442866,27,0
16,3098,7.874477856333425e-10,7.62939453125e-06,7.874477856333425e-10,138,0.04454486765655261,27,0
17,3098,7.874477856333425e-10,3.814697265625e-06,7.874477856333425e-10,135,0.04357650096836669,27,0
18,3098,7.874477856333425e-10,1.9073486328125e-06,7.874477856333425e-10,135,0.04357650096836669,27,0
19,3098,7.874477856333425e-10,9.5367431640625e-07,7.874477856333425e-10,137,0.04422207876049064,27,0
20,3098,7.874477856333425e-10,4.76837158203125e-07,7.874477856333425e-10,133,0.04293092317624274,27,0
21,3098,7.874477856333425e-10,2.384185791015625e-07,7.874477856333425e-10,138,0.04454486765655261,27,0
22,3098,7.874477856333425e-10,1.1920928955078125e-07,7.874477856333425e-10,134,0.04325371207230471,27,0
23,3098,7.874477856333425e-10,5.960464477539063e-08,7.874477856333425e-10,132,0.04260813428018076,27,0
24,3098,7.874477856333425e-10,2.9802322387695312e-08,7.874477856333425e-10,137,0.04422207876049064,27,0
25,3098,7.874477856333425e-10,1.4901161193847656e-08,7.874477856333425e-10,137,0.04422207876049064,27,0
