,0,1,FPR_target,FPR_actual,size,2,3,4,5,6,7
0,344,1.0,0.08333333333333333,0.011416137489712116,521,,,,,,
1,344,,0.041666666666666664,0.004250927473828862,805,1.0,,,,,
2,343,1.0,0.020833333333333332,0.0013010447381980462,1137,,1.0,,,,
3,343,,0.010416666666666666,0.0004686665818236397,1496,1.0,,1.0,,,
4,341,2.0,0.005208333333333333,0.00021263942522968207,1871,,1.0,,1.0,,
5,341,,0.0026041666666666665,8.580369383161394e-05,2265,2.0,,1.0,,1.0,
6,341,,0.0013020833333333333,3.39352081455329e-05,2671,,2.0,,1.0,,1.0
7,340,1.0,0.0006510416666666666,1.54337141158183e-05,2898,,,2.0,,1.0,1.0
8,335,5.0,0.0003255208333333333,5.847791409242809e-06,2958,1.0,,,2.0,1.0,1.0
9,330,5.0,0.00016276041666666666,9.349046746763861e-07,3002,5.0,1.0,,2.0,1.0,1.0
10,312,18.0,8.138020833333333e-05,1.1403410525282848e-07,3040,5.0,5.0,1.0,2.0,1.0,1.0
11,312,,4.0690104166666664e-05,2.0590301357671842e-08,3070,18.0,5.0,6.0,2.0,1.0,1.0
12,312,,2.0345052083333332e-05,7.874477856333425e-10,3090,,18.0,11.0,2.0,1.0,1.0
13,312,,1.0172526041666666e-05,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
14,312,,5.086263020833333e-06,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
15,312,,2.5431315104166665e-06,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
16,312,,1.2715657552083333e-06,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
17,312,,6.357828776041666e-07,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
18,312,,3.178914388020833e-07,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
19,312,,1.5894571940104166e-07,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
20,312,,7.947285970052083e-08,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
21,312,,3.9736429850260414e-08,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
22,312,,1.9868214925130207e-08,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
23,312,,9.934107462565104e-09,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
24,312,,4.967053731282552e-09,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
25,312,,2.483526865641276e-09,7.874477856333425e-10,3098,,,29.0,2.0,1.0,1.0
