,1,3,6,9,4,7,2,5,8,0,FPR_actual,size,10
0,673,62,42,149.0,51,35,209,50,71.0,103096,0.00023000605759694248,12520,
1,1260,92,42,149.0,57,45,364,57,61.0,102311,0.00028386702068358607,13520,
2,1260,92,42,149.0,57,45,364,57,61.0,102311,0.0001930604608640839,14520,
3,673,62,42,149.0,51,35,209,50,71.0,103096,0.0001431605361726219,15520,
4,1130,80,48,,68,191,243,58,,102620,0.00019270740703205218,16520,
5,1768,94,64,,68,71,411,59,149.0,101754,0.00015387013669942114,17520,
6,2413,367,59,149.0,85,64,595,65,71.0,100570,0.00020680453019989703,18520,
7,2527,328,57,61.0,82,42,520,57,45.0,100570,0.00012107539407151811,19520,149.0
8,2740,198,48,149.0,73,54,480,55,71.0,100570,0.00013834081430493236,20520,
9,2413,367,59,149.0,85,64,595,65,71.0,100570,0.00013327317507369122,21520,
10,2050,366,51,71.0,114,51,902,63,51.0,100570,8.864879091345663e-05,22520,149.0
11,2527,328,57,61.0,82,42,520,57,45.0,100570,6.850507152218341e-05,23520,149.0
12,2527,328,57,61.0,82,42,520,57,45.0,100570,4.81154057244676e-05,24520,149.0
