,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,12520,0.0009387091849055745,0.5,8.148200539566135e-05,2000,0.1597444089456869,2793854,29392595
1,14554,0.000304955866378407,0.25,2.985208722389441e-05,2483,0.17060601896385874,1023568,9432755
2,16104,0.00023301469501241042,0.125,1.54337141158183e-05,2961,0.18386736214605068,529191,7460414
3,17548,0.00023833559635886613,0.0625,5.847791409242809e-06,3701,0.21090722589468885,200509,7971539
4,20072,0.00044269906202047297,0.03125,8.730754411377681e-07,5232,0.26066161817457156,29936,15149324
5,25005,0.0008511437370596363,0.015625,5.56463101847562e-08,7995,0.3197360527894421,1908,29182098
6,25053,0.0007742863833442668,0.0078125,8.07863098594207e-09,8056,0.3215582964116074,277,26548445
7,25078,0.0008304659415035607,0.00390625,7.874477856333425e-10,8169,0.32574367971927587,27,28474979
8,25094,0.0008880715092731711,0.001953125,7.874477856333425e-10,8298,0.3306766557742887,27,30450158
9,25094,0.0010445928264355715,0.0009765625,7.874477856333425e-10,8482,0.3380090858372519,27,35816959
10,25094,0.0009735144645247666,0.00048828125,7.874477856333425e-10,8484,0.33808878616402327,27,33379825
11,25094,0.0010076932565186553,0.000244140625,7.874477856333425e-10,8583,0.3420339523392046,27,34551747
12,25094,0.0010330162940563805,0.0001220703125,7.874477856333425e-10,8659,0.3450625647565155,27,35420023
13,25094,0.0011410476556745932,6.103515625e-05,7.874477856333425e-10,8706,0.34693552243564196,27,39124201
14,25094,0.0012368721767083146,3.0517578125e-05,7.874477856333425e-10,8880,0.3538694508647485,27,42409831
15,25094,0.0011758641053864483,1.52587890625e-05,7.874477856333425e-10,8922,0.35554315772694667,27,40317987
16,25094,0.0011679115827051387,7.62939453125e-06,7.874477856333425e-10,8993,0.3583725193273292,27,40045311
17,25094,0.0011724322037835284,3.814697265625e-06,7.874477856333425e-10,9135,0.3640312425280944,27,40200314
18,25094,0.0012350235409549755,1.9073486328125e-06,7.874477856333425e-10,9100,0.3626364868095959,27,42346445
19,25094,0.0012775524584324532,9.5367431640625e-07,7.874477856333425e-10,9193,0.3663425520044632,27,43804676
20,25094,0.0013415712342861239,4.76837158203125e-07,7.874477856333425e-10,9400,0.37459153582529686,27,45999751
21,25094,0.0012547988921839824,2.384185791015625e-07,7.874477856333425e-10,9415,0.37518928827608194,27,43024502
22,25094,0.0014460520230036487,1.1920928955078125e-07,7.874477856333425e-10,9556,0.3808081613134614,27,49582187
23,25094,0.0015450640451794154,5.960464477539063e-08,7.874477856333425e-10,9604,0.38272096915597353,27,52977110
24,25094,0.0015365760288391424,2.9802322387695312e-08,7.874477856333425e-10,9666,0.38519167928588505,27,52686073
25,25094,0.001604881087143145,1.4901161193847656e-08,7.874477856333425e-10,9784,0.38989399856539414,27,55028116
