,0,1,FPR_target,FPR_actual,size,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,2999.0,1.0,0.5,0.47344933333333333,3,,,,,,,,,,,,,,,,,,,,,,,,,
1,2999.0,,0.25,0.23939333333333335,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2998.0,,0.125,0.12501633333333334,84,,2.0,,,,,,,,,,,,,,,,,,,,,,,
3,2989.0,7.0,0.0625,0.062466,826,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
4,2963.0,18.0,0.03125,0.031254,2655,11.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
5,2930.0,38.0,0.015625,0.015628333333333334,4768,16.0,9.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
6,2877.0,83.0,0.0078125,0.007750666666666667,6408,18.0,11.0,8.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,
7,,,0.00390625,0.003926666666666667,13279,2930.0,39.0,16.0,9.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,
8,,,0.001953125,0.0019523333333333333,17996,,2922.0,44.0,17.0,9.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,
9,,,0.0009765625,0.000963,22452,,,2917.0,47.0,19.0,9.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,
10,,,0.00048828125,0.00048666666666666666,26780,,,,2917.0,47.0,19.0,9.0,5.0,1.0,2.0,,,,,,,,,,,,,,,
11,,,0.000244140625,0.00024233333333333333,31302,,,,,2912.0,51.0,19.0,10.0,5.0,1.0,2.0,,,,,,,,,,,,,,
12,,,0.0001220703125,0.00012033333333333334,35760,,,,,,2909.0,54.0,18.0,11.0,5.0,1.0,2.0,,,,,,,,,,,,,
13,,,6.103515625e-05,5.966666666666667e-05,40152,,,,,,,2908.0,55.0,18.0,11.0,5.0,1.0,2.0,,,,,,,,,,,,
14,,,3.0517578125e-05,3.066666666666667e-05,44352,,,,,,,,2912.0,51.0,18.0,11.0,5.0,1.0,2.0,,,,,,,,,,,
15,,,1.52587890625e-05,1.4666666666666666e-05,69250,,,,,,,,,,,,,,,3000.0,,,,,,,,,,
16,,,7.62939453125e-06,7.666666666666667e-06,52716,,,,,,,,,,2918.0,47.0,18.0,9.0,5.0,1.0,2.0,,,,,,,,,
17,,,3.814697265625e-06,3.6666666666666666e-06,60282,,,,,,,,,,,512.0,2430.0,31.0,12.0,10.0,3.0,2.0,,,,,,,,
18,,,1.9073486328125e-06,2e-06,72875,,,,,,,,,,,,,,512.0,2430.0,31.0,12.0,15.0,,,,,,,
19,,,9.5367431640625e-07,1e-06,69164,,,,,,,,,,,,,,2936.0,34.0,15.0,10.0,2.0,3.0,,,,,,
20,,,4.76837158203125e-07,3.3333333333333335e-07,90864,,,,,,,,,,,,,,,,,,,512.0,2488.0,,,,,
21,,,2.384185791015625e-07,3.3333333333333335e-07,73332,,,,,,,,,,,,,,512.0,2430.0,31.0,12.0,10.0,3.0,,2.0,,,,
22,,,1.1920928955078125e-07,0.0,99546,,,,,,,,,,,,,,,,,,,,,,3000.0,,,
23,,,5.960464477539063e-08,0.0,103846,,,,,,,,,,,,,,,,,,,,,,557.0,2443.0,,
24,,,2.9802322387695312e-08,0.0,108177,,,,,,,,,,,,,,,,,,,,,,,512.0,2488.0,
25,,,1.4901161193847656e-08,0.0,112501,,,,,,,,,,,,,,,,,,,,,,,,597.0,2403.0
