,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,17313,0.06323390856122309,0.5,6.249908006218382e-05,8678,0.5012418413908624,517597,523165013
1,21641,0.030885291687441422,0.25,6.249908006218382e-05,10796,0.49886788965389767,517597,255264317
2,25379,0.008998316634756245,0.125,6.249908006218382e-05,11433,0.4504905630639505,517597,74003527
3,27240,0.005348759628255529,0.0625,6.249908006218382e-05,11563,0.42448604992657857,517597,43779086
4,28172,0.004716754182923516,0.03125,6.249908006218382e-05,11843,0.4203819395144115,517597,38545023
5,28639,0.004284870720225985,0.015625,6.249908006218382e-05,11847,0.4136666783058068,517597,34968305
6,28871,0.004236826326676984,0.0078125,6.249908006218382e-05,11910,0.41252467874337573,517597,34570417
7,28988,0.004261096661693259,0.00390625,6.249908006218382e-05,11884,0.40996274320408443,517597,34771416
8,29046,0.0038837280236025057,0.001953125,6.249908006218382e-05,11828,0.4072161399159953,517597,31646172
9,29075,0.0037014106541194314,0.0009765625,6.249908006218382e-05,11824,0.40667239896818574,517597,30136279
10,29090,0.003690197462059016,0.00048828125,6.249908006218382e-05,11858,0.40763148848401515,517597,30043415
11,29097,0.004136132069661939,0.000244140625,6.249908006218382e-05,11894,0.4087706636422999,517597,33736500
12,29101,0.0039202899558554915,0.0001220703125,6.249908006218382e-05,11907,0.4091611972097179,517597,31948966
13,29103,0.00382526882731407,6.103515625e-05,6.249908006218382e-05,11872,0.4079304539050957,517597,31162032
14,29104,0.0037369400656398558,3.0517578125e-05,6.249908006218382e-05,11877,0.40808823529411764,517597,30430522
15,29104,0.003921190256940977,1.52587890625e-05,6.249908006218382e-05,11896,0.408741066520066,517597,31956422
16,29104,0.003623012855800326,7.62939453125e-06,6.249908006218382e-05,11859,0.40746976360637716,517597,29487014
17,29104,0.0035899304133648465,3.814697265625e-06,6.249908006218382e-05,11816,0.40599230346344145,517597,29213036
18,29104,0.004228137745010254,1.9073486328125e-06,6.249908006218382e-05,11946,0.4104590434304563,517597,34498461
19,29104,0.0037604459416738074,9.5367431640625e-07,6.249908006218382e-05,11895,0.4087067069818582,517597,30625190
20,29105,0.004018292727999901,4.76837158203125e-07,6.249908006218382e-05,11940,0.41023879058581,517597,32760593
21,29105,0.003940557356150079,2.384185791015625e-07,6.249908006218382e-05,11886,0.4083834392716028,517597,32116814
22,29105,0.00392498043274198,1.1920928955078125e-07,6.249908006218382e-05,11815,0.4059439958769971,517597,31987811
23,29105,0.003783671198109762,5.960464477539063e-08,6.249908006218382e-05,11872,0.40790242226421575,517597,30817534
24,29105,0.0039521397972340205,2.9802322387695312e-08,6.249908006218382e-05,11853,0.4072496134684762,517597,32212736
25,29105,0.003957453578064081,1.4901161193847656e-08,6.249908006218382e-05,11854,0.40728397182614673,517597,32256743
