,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,2802,0.00035142754623247903,9,2.2,122037,13547817
1,4302,0.00010869442995860846,12,2.0,9462,4218554
2,5802,8.91365336741008e-05,11,2.5000000000000004,2060,3465190
3,7302,2.2333634209988123e-05,12,2.5000000000000004,1670,867068
4,8802,3.3367874794808318e-06,12,2.3000000000000003,2060,127735
5,10302,2.831365530664674e-06,11,2.5000000000000004,2060,108075
6,11802,2.6857289147216526e-07,12,2.5000000000000004,1670,8777
7,13302,1.385668502952973e-07,12,2.4000000000000004,1670,3720
8,14802,8.344860780306771e-08,12,2.4000000000000004,1670,1576
9,16302,1.4080345808299503e-07,12,2.4000000000000004,1670,3807
10,17802,5.313871605943961e-08,12,2.4000000000000004,1670,397
