,0,1,FPR_actual,size,5,6,3,4,2,7
0,642,3358,0.001588418853559416,2802,,,,,,
1,105,76,0.00018121210888421248,4302,54.0,280.0,52.0,52.0,23.0,3358.0
2,105,99,2.8526443172833542e-05,5802,280.0,3358.0,52.0,54.0,52.0,
3,105,99,1.5509050769896533e-05,7302,280.0,3358.0,52.0,54.0,52.0,
4,105,76,5.926856785962973e-06,8802,54.0,280.0,52.0,52.0,23.0,3358.0
5,132,176,5.195845904270727e-06,10302,,,280.0,3358.0,54.0,
6,132,176,2.6772968257849086e-06,11802,,,280.0,3358.0,54.0,
7,132,230,1.099537028661064e-07,13302,,,3358.0,,280.0,
8,362,280,1.099537028661064e-07,14802,,,,,3358.0,
9,132,230,1.099537028661064e-07,16302,,,3358.0,,280.0,
10,642,3358,1.099537028661064e-07,17802,,,,,,
