,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,2229,0.017493337351057014,0.5,0.01713746097963362,58,0.02602063705697622,4999362843,103816727
1,3953,0.008647353317316163,0.25,0.008421357587484097,100,0.02529724260055654,2456689603,65927774
2,6395,0.0035834206020114246,0.125,0.003446006404236992,170,0.026583268178264268,1005273558,40086652
3,9479,0.0012617178247410845,0.0625,0.0011916784818071504,281,0.02964447726553434,347638027,20431970
4,13032,0.00038906487748624653,0.03125,0.0003595726832920113,429,0.032918968692449355,104895020,8603502
5,16878,0.00011086028036459786,0.015625,9.944020338731457e-05,637,0.03774143855907098,29008828,3331480
6,20889,3.06034842199999e-05,0.0078125,2.6606436710376614e-05,892,0.04270190052180574,7761665,1166024
7,24510,8.170043760073459e-06,0.00390625,7.017169527346275e-06,1187,0.04842921256629947,2047058,336318
8,26413,2.0224095642349926e-06,0.001953125,1.6953474283435644e-06,1481,0.05607087419073941,494569,95411
9,27533,5.545086544116425e-07,0.0009765625,4.5216097761011676e-07,1761,0.06395961210184142,131905,29857
10,28076,1.401131708338267e-07,0.00048828125,1.0599156535161526e-07,2050,0.07301609915942442,30920,9954
11,28272,3.6658272958285044e-08,0.000244140625,2.767024306333242e-08,2310,0.08170628183361629,8072,2622
12,28378,8.679516282997731e-09,0.0001220703125,5.7486369694262225e-09,2558,0.0901402494890408,1677,855
13,28438,1.2923292411888407e-09,6.103515625e-05,1.2923292411888407e-09,2807,0.09870595681834166,377,0
14,28474,5.107614242364383e-10,3.0517578125e-05,3.5307668923726945e-10,3032,0.10648310739622112,103,46
15,28498,9.072699741789137e-08,1.52587890625e-05,4.113514826065275e-11,3295,0.11562214892273141,12,26455
16,28516,2.3995503152047438e-11,7.62939453125e-06,2.3995503152047438e-11,3483,0.12214195539346331,7,0
17,28531,3.4279290217210627e-12,3.814697265625e-06,3.4279290217210627e-12,3712,0.13010409729767622,1,0
18,28546,3.4279290217210627e-12,1.9073486328125e-06,3.4279290217210627e-12,3936,0.13788271561689905,1,0
19,28561,2.1338858160213616e-08,9.5367431640625e-07,3.4279290217210627e-12,4191,0.1467385595742446,1,6224
20,28576,3.4279290217210627e-12,4.76837158203125e-07,3.4279290217210627e-12,4473,0.15652995520716687,1,0
21,28591,1.0701994405813158e-08,2.384185791015625e-07,3.4279290217210627e-12,4701,0.1644223706760869,1,3121
22,28607,4.3875434720616573e-07,1.1920928955078125e-07,3.4279290217210627e-12,4966,0.17359387562484707,1,127993
23,28623,3.154585961529025e-07,5.960464477539063e-08,3.4279290217210627e-12,5236,0.18292981168989972,1,92025
24,28638,5.98818064946409e-07,2.9802322387695312e-08,3.4279290217210627e-12,5479,0.19131922620294714,1,174687
25,28653,7.178666119417598e-07,1.4901161193847656e-08,3.4279290217210627e-12,5707,0.19917635151642063,1,209416
