,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,2802,0.013333595856917867,0.5,0.013089141011835182,65,0.023197715917202,509143947,9508852
1,4828,0.006240937193650559,0.25,0.006079990184329907,127,0.026304888152444077,236500638,6260548
2,7574,0.0024786080526264746,0.125,0.0023573633235220784,224,0.029574861367837338,91697176,4716201
3,10936,0.0008305896145237925,0.0625,0.0007751077071288921,375,0.034290416971470374,30150290,2158146
4,13736,0.00024478496323634773,0.03125,0.00021920300437285742,574,0.041788002329644726,8526601,995092
5,15112,6.823622702700957e-05,0.015625,5.9505127593938006e-05,758,0.050158814187400744,2314642,339624
6,15990,2.324447245248109e-05,0.0078125,1.700485115539727e-05,947,0.059224515322076295,661458,242710
7,16500,5.933591665340237e-06,0.00390625,3.748477366843126e-06,1131,0.06854545454545455,145809,84997
8,16671,4.256932848750439e-06,0.001953125,1.0582753520434082e-06,1252,0.07510047387679203,41165,124422
9,16785,8.442988370995748e-06,0.0009765625,3.7976056116568015e-07,1398,0.08328865058087578,14772,313645
10,16884,9.663584883559066e-06,0.00048828125,7.388517822841625e-08,1559,0.09233593935086472,2874,373022
11,16969,9.250069541943172e-06,0.000244140625,7.403942703473862e-09,1714,0.10100771995992693,288,359523
12,17038,1.3001220554762553e-05,0.0001220703125,5.064502474251218e-09,1870,0.1097546660406151,197,505527
13,17098,1.8013381267401712e-05,6.103515625e-05,8.226603003859846e-10,1992,0.11650485436893204,32,700656
14,17158,1.7245633542066493e-05,3.0517578125e-05,8.226603003859846e-10,2114,0.12320783308077865,32,670792
15,17213,2.4288171292327038e-05,1.52587890625e-05,2.0566507509649616e-10,2251,0.13077325277406612,8,944758
16,17269,2.7453948085153014e-05,7.62939453125e-06,7.712440316118606e-11,2361,0.1367189762001274,3,1067906
17,17328,2.3608885257417696e-05,3.814697265625e-06,7.712440316118606e-11,2512,0.14496768236380425,3,918340
18,17391,3.660257332880484e-05,1.9073486328125e-06,2.570813438706202e-11,2644,0.15203266057156,1,1423773
19,17456,4.605578854867458e-05,9.5367431640625e-07,2.570813438706202e-11,2804,0.16063244729605866,1,1791486
20,17519,4.736348422054126e-05,4.76837158203125e-07,2.570813438706202e-11,2932,0.1673611507506136,1,1842353
21,17584,4.952607819331531e-05,2.384185791015625e-07,2.570813438706202e-11,3065,0.17430618744313012,1,1926474
22,17640,4.480166862887053e-05,1.1920928955078125e-07,2.570813438706202e-11,3170,0.17970521541950113,1,1742703
23,17696,4.939478675100058e-05,5.960464477539063e-08,2.570813438706202e-11,3321,0.18766952983725135,1,1921367
24,17761,6.921120802363888e-05,2.9802322387695312e-08,2.570813438706202e-11,3423,0.19272563481785934,1,2692190
25,17824,9.987522801716678e-05,1.4901161193847656e-08,2.570813438706202e-11,3606,0.20231149012567326,1,3884965
