,8,6,7,5,4,2,3,1,0,FPR_actual,size,9,10,11
0,17294800000,4386041659,8660204315,2047707661,843872600,81883889,279040591,17801502,2619997,0.0070966793141799414,26767,,,
1,17294800000,4386041659,8660204315,2047707661,843872600,81883889,279040591,17801502,2619997,0.002632004164213778,35767,,,
2,17294800000,4386041659,8660204315,2047707661,843872600,81883889,279040591,17801502,2619997,0.0013355657847438636,44767,,,
3,8697012986,2070271031,4401458746,857329719,289776668,22503388,89080886,4648057,690733,0.0009770779749238253,53767,17181200000.0,,
4,4403741296,859368694,2073834694,293866323,92093581,5479435,24510982,1309138,153039,0.0008201920720899457,62767,8694715032.0,17164900000.0,
5,4193881464,691587013,1819899182,203649753,59311163,3028623,12737459,603771,86962,0.0006514048238055787,71767,8752686824.0,17876500000.0,
6,2119745059,309469293,884695745,96087645,26408644,1717964,6193942,356915,38779,0.00047214322687612,80767,4493725574.0,8857632654.0,16817900000.0
7,2119745059,309469293,884695745,96087645,26408644,1717964,6193942,356915,38779,0.00024736227362616003,89767,4493725574.0,8857632654.0,16817900000.0
8,3916842756,447411865,1468073849,109898787,23415400,868044,4384339,125976,12289,0.00039762253628616476,98767,9019538909.0,18623400000.0,
9,3916842756,447411865,1468073849,109898787,23415400,868044,4384339,125976,12289,0.00020201398511663157,107767,9019538909.0,18623400000.0,
10,1650761514,151365239,548614636,36165261,7355903,330063,1816629,73668,6355,0.0001489702530491286,116767,4028884070.0,8856098876.0,18332500000.0
