,1,4,2,3,5,6,8,0,FPR_actual,size,7,9,10,11
0,2705,915,2076,1396,285,38,1.0,97022,0.0070966793141799414,26767,,,,
1,2705,915,2076,1396,285,38,1.0,97022,0.002632004164213778,35767,,,,
2,2705,915,2076,1396,285,38,1.0,97022,0.0013355657847438636,44767,,,,
3,2759,1313,2149,1847,863,272,,95197,0.0009770779749238253,53767,37.0,1.0,,
4,2974,1766,2115,1965,1276,832,36.0,93200,0.0008201920720899457,62767,273.0,,1.0,
5,2834,2013,2245,2005,1428,1091,63.0,92363,0.0006514048238055787,71767,395.0,,1.0,
6,3385,1883,2337,1799,1677,1272,254.0,90997,0.00047214322687612,80767,799.0,34.0,,1.0
7,3385,1883,2337,1799,1677,1272,254.0,90997,0.00024736227362616003,89767,799.0,34.0,,1.0
8,3942,2193,2659,2246,1989,1463,114.0,89115,0.00039762253628616476,98767,714.0,2.0,1.0,
9,3942,2193,2659,2246,1989,1463,114.0,89115,0.00020201398511663157,107767,714.0,2.0,1.0,
10,3598,1926,2167,2362,2037,1765,558.0,88658,0.0001489702530491286,116767,1274.0,92.0,,1.0
