,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,26767,0.0070966793141799414,8,2.0,2619997,235908991
1,35767,0.002632004164213778,8,2.0,2619997,85845222
2,44767,0.0013355657847438636,8,2.0,2619997,42270175
3,53767,0.0009770779749238253,9,2.0,690733,32152064
4,62767,0.0008201920720899457,10,2.0,153039,27416749
5,71767,0.0006514048238055787,10,2.1,86962,21809285
6,80767,0.00047214322687612,11,2.0,38779,15831812
7,89767,0.00024736227362616003,11,2.0,38779,8276040
8,98767,0.00039762253628616476,10,2.3000000000000003,12289,13353379
9,107767,0.00020201398511663157,10,2.3000000000000003,12289,6778201
10,116767,0.0001489702530491286,11,2.2,6355,5001126
