,size,false_positive_rating,model_FP,bloom_FP
0,26767,0.003538122158986256,1623161,117301436
1,35767,0.0019160559084534388,1623161,62779979
2,44767,0.001189859028803297,1623161,38370796
3,53767,0.0007459563138673919,1623161,23450183
4,62767,0.0004306889702107248,1623161,12853307
5,71767,0.0002733418299778121,1623161,7564500
6,80767,0.00018391222792113257,1623161,4558561
7,89767,0.00012909145365467176,1623161,2715906
8,98767,9.271559673160817e-05,1623161,1493228
9,107767,7.567352689302681e-05,1623161,920404
10,116767,5.855074267189153e-05,1623161,344867
