,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones,model_FP,bloom_FP
0,26767,0.006958805776086669,0.5,0.000667663608963558,6900,0.25778010236485227,22442826,211470278
1,30724,0.004008203646455243,0.25,0.00018424228355316507,8413,0.27382502278349174,6193115,128538531
2,33959,0.003510199426857895,0.125,5.259518240643001e-05,9899,0.29149857180717925,1767933,116223813
3,36939,0.003590611196784754,0.0625,1.3441702073277021e-05,11341,0.30701968109586075,451829,120242876
4,39795,0.0037038315854901064,0.03125,3.16002522176655e-06,12812,0.32194999371780375,106221,124394271
5,42562,0.003907354155106282,0.015625,9.776589267933284e-07,14273,0.33534608336074434,32863,131308831
6,45359,0.004281384868285832,0.0078125,2.1244142032775943e-07,15907,0.3506911528031923,7141,143907211
7,48109,0.004559387597047176,0.00390625,7.211286974856306e-08,17374,0.36113824856056037,2424,153256704
8,50892,0.0047641935317987,0.001953125,1.2108060225934476e-08,18937,0.3721017055725851,407,160143062
9,53488,0.005032845565616912,0.0009765625,3.1237010410887467e-09,20257,0.37872046066407417,105,169173826
10,56234,0.005164635524024593,0.00048828125,1.3089794838848082e-09,21783,0.38736351673364866,44,173603871
11,58847,0.005364902959159684,0.000244140625,1.1899813489861893e-10,23160,0.3935629683756181,4,180335695
12,61650,0.005499333932423771,0.0001220703125,1.1899813489861893e-10,24654,0.39990267639902677,4,184854454
13,64351,0.00593207505291359,6.103515625e-05,1.1899813489861893e-10,26135,0.40613199484079504,4,199400602
14,67087,0.006048453057128478,3.0517578125e-05,2.974953372465473e-11,27630,0.41185326516314635,1,203312532
15,69841,0.0062579787851549514,1.52587890625e-05,2.974953372465473e-11,29089,0.4165032001260005,1,210355524
16,72494,0.006416070544324869,7.62939453125e-06,2.974953372465473e-11,30408,0.41945540320578256,1,215669616
17,75292,0.006350399549360441,3.814697265625e-06,2.974953372465473e-11,31924,0.4240025500717208,1,213462153
18,78080,0.006477985958151896,1.9073486328125e-06,2.974953372465473e-11,33447,0.42836834016393444,1,217750839
19,80712,0.006609991660178148,9.5367431640625e-07,2.974953372465473e-11,34755,0.43060511448111805,1,222188075
20,83431,0.006822193894254761,4.76837158203125e-07,2.974953372465473e-11,36251,0.43450276276204286,1,229321035
21,86127,0.00703021224315694,2.384185791015625e-07,2.974953372465473e-11,37730,0.438074006989678,1,236313358
22,88842,0.0070506781968865465,1.1920928955078125e-07,2.974953372465473e-11,39233,0.4416041962135026,1,237001300
23,91528,0.0073044082513324116,5.960464477539063e-08,2.974953372465473e-11,40495,0.4424329167030854,1,245530175
24,94265,0.007039728732251519,2.9802322387695312e-08,2.974953372465473e-11,42126,0.44688908926961224,1,236633245
25,96457,0.007133971090156503,1.4901161193847656e-08,2.974953372465473e-11,42973,0.44551458162704627,1,239801105
26,98208,0.00723206137175157,7.450580596923828e-09,2.974953372465473e-11,44070,0.4487414467253177,1,243098309
27,100199,0.007494675112960156,3.725290298461914e-09,2.974953372465473e-11,45187,0.4509725645964531,1,251925800
28,102116,0.007660020492691421,1.862645149230957e-09,2.974953372465473e-11,46294,0.4533471738023424,1,257483715
29,104048,0.007523980932389308,9.313225746154785e-10,2.974953372465473e-11,47129,0.45295440565892664,1,252910885
30,105938,0.00745442000739318,4.656612873077393e-10,2.974953372465473e-11,48127,0.45429402103116917,1,250572666
31,107778,0.007561995154328475,2.3283064365386963e-10,2.974953372465473e-11,49013,0.4547588561673069,1,254188694
32,109675,0.007460486056317771,1.1641532182693481e-10,2.974953372465473e-11,50109,0.45688625484385686,1,250776570
33,111461,0.007720732240383948,5.820766091346741e-11,2.974953372465473e-11,50909,0.4567427171835889,1,259524478
34,113444,0.007901567934579837,2.9103830456733704e-11,2.974953372465473e-11,51940,0.45784704347519484,1,265603084
35,115259,0.007775002143041874,1.4551915228366852e-11,2.974953372465473e-11,52957,0.45946086639655037,1,261348705
36,117094,0.00788685411269496,7.275957614183426e-12,2.974953372465473e-11,54123,0.46221838864502024,1,265108494
37,119007,0.00809095275228218,3.637978807091713e-12,2.974953372465473e-11,55110,0.46308200357962137,1,271969060
38,120886,0.007866699190340444,1.8189894035458565e-12,2.974953372465473e-11,55810,0.4616746356071009,1,264431007
