,size,false_positive_rating,num_regions,optimal_c
0,2200,0.00033934358012440867,11,1.9000000000000004
1,4200,6.330839643968671e-05,11,2.3000000000000007
2,6200,1.1117092698145836e-05,12,2.400000000000001
3,8200,2.8412046997326346e-06,12,2.500000000000001
4,10200,6.430212118019724e-07,12,2.500000000000001
5,12200,7.157173058083346e-08,12,2.400000000000001
6,14200,3.057712697458508e-08,12,2.500000000000001
7,16200,2.2003876462988976e-08,12,2.500000000000001
8,18200,4.265029320785142e-08,12,2.400000000000001
9,20200,1.3389490802996564e-08,12,2.500000000000001
10,22200,1.581646455837843e-08,12,2.500000000000001
11,24200,1.296099967386841e-08,12,2.500000000000001
12,26200,1.6892834274748353e-08,12,2.500000000000001
13,28200,9.251980460135105e-09,12,2.500000000000001
