,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones
0,2229,0.017485219644977183,0.5,0.017137460976264438,57,0.02557200538358008
1,3953,0.008651168989702975,0.25,0.008421357584085035,97,0.024538325322539842
2,6395,0.0035797999445485867,0.125,0.0034460064008208758,169,0.026426896012509773
3,9479,0.0012636539773316776,0.0625,0.0011916784783833063,280,0.029538980905158774
4,13032,0.0003872449179834328,0.03125,0.0003595726798653149,428,0.03284223449969306
5,16878,0.00011132212181414692,0.015625,9.944019995972643e-05,639,0.03785993601137576
6,20889,3.0288478110581686e-05,0.0078125,2.6606433282538797e-05,893,0.04274977260759251
7,24510,7.918728571802147e-06,0.00390625,7.017166099441308e-06,1185,0.04834761321909425
8,26413,2.046021139343621e-06,0.001953125,1.6953440004203541e-06,1459,0.05523795100897286
9,27533,5.461582193166023e-07,0.0009765625,4.52157549682645e-07,1753,0.06366905168343442
10,28076,1.337920697182317e-07,0.00048828125,1.0598813742295687e-07,2063,0.0734791280809232
11,28272,4.0202751566882434e-08,0.000244140625,2.7666815134405536e-08,2301,0.08138794567062818
12,28378,8.155043142702363e-09,0.0001220703125,5.745209040424196e-09,2554,0.08999929522869829
13,28438,2.7869062946687774e-09,6.103515625e-05,1.288901312171538e-09,2799,0.09842464308319854
14,28474,4.59342488912197e-10,3.0517578125e-05,3.49648760216747e-10,3060,0.10746646063075085
15,28498,1.268333738041141e-10,1.52587890625e-05,3.770721923906095e-11,3296,0.11565723910449856
16,28516,2.056757413039688e-11,7.62939453125e-06,2.056757413039688e-11,3490,0.12238743161733763
17,28531,0.0,3.814697265625e-06,0.0,3723,0.13048964284462514
18,28546,0.0,1.9073486328125e-06,0.0,3932,0.13774259090590626
19,28561,1.9947461770365414e-07,9.5367431640625e-07,0.0,4187,0.14659850845558628
20,28576,1.3767591329985498e-07,4.76837158203125e-07,0.0,4417,0.1545702687569989
21,28591,2.0989209400070017e-08,2.384185791015625e-07,0.0,4717,0.164981987338673
22,28607,1.5782528008960048e-07,1.1920928955078125e-07,0.0,4951,0.1730695284370958
23,28623,2.727843077624321e-07,5.960464477539063e-08,0.0,5244,0.1832093072005031
24,28638,7.252846503472504e-07,2.9802322387695312e-08,0.0,5482,0.19142398212165654
25,28653,1.6376930901328515e-07,1.4901161193847656e-08,0.0,5708,0.19921125187589434
